timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bull,1,adx_cross25_up+atr_expand,196,0.09693878,1.94462463,38,0.05263158,1.01011352,0.01455421,38,0.07894737,2.48214075,0.02721460,272,0.08823529,1.83798053,0.06001007
h4,bull,1,adx25+atr_expand,2444,0.09656301,1.93708668,473,0.08245243,1.58244000,0.06090060,347,0.06051873,1.90273613,0.03992031,3264,0.09068627,1.88903554,0.08131002
h4,bull,1,adx_up3+atr_expand,1626,0.09594096,1.92460810,337,0.07121662,1.36680049,0.04832126,330,0.08787879,2.76294859,0.06188288,2293,0.09114697,1.89863202,0.08004028
h4,bull,1,volatility+atr_expand,2864,0.09287709,1.86314595,605,0.10413223,1.99852212,0.08224061,491,0.07739308,2.43327307,0.05690261,3960,0.09267677,1.93049840,0.08403562
h4,bull,1,rsi_cross55_up+breakout20_up,547,0.08957952,1.79699557,136,0.08823529,1.69342561,0.05119459,102,0.07843137,2.46591760,0.04027669,785,0.08789809,1.83095640,0.07004429
h4,bull,1,atr_expand+bb_expand,2638,0.08908264,1.78702786,511,0.06849315,1.31453129,0.04965789,470,0.07234043,2.27441549,0.05222650,3619,0.08400111,1.74978049,0.07539883
h4,bull,1,adx_rising+atr_expand,3127,0.08538535,1.71285907,620,0.08709677,1.67157495,0.06736664,565,0.07256637,2.28151934,0.05393962,4312,0.08395176,1.74875266,0.07604029
h4,bull,1,di_strong_bull+price200_cross_up,683,0.08345534,1.67414243,145,0.07586207,1.45595673,0.04288573,99,0.05050505,1.58790149,0.02176323,927,0.07874865,1.64036953,0.06309701
h4,bull,1,adx25+di_cross_up,681,0.08223201,1.64960197,154,0.10389610,1.99399032,0.06496888,106,0.00943396,0.29660801,0.00166727,941,0.07757705,1.61596446,0.06215134
h4,bull,1,rsi_cross55_up+price200_cross_up,381,0.08136483,1.63220600,97,0.09278351,1.78071559,0.04958322,53,0.03773585,1.18643205,0.01041029,531,0.07909605,1.64760590,0.05904740
h4,bull,1,bb_upper+price200_cross_up,691,0.08104197,1.62572930,164,0.06707317,1.28727881,0.03786211,106,0.04716981,1.48304007,0.02031407,961,0.07492196,1.56065776,0.05991670
h4,bull,1,rsi_cross50_up+breakout20_up,188,0.07978723,1.60055891,47,0.12765957,2.45006258,0.05984604,27,0.03703704,1.16446109,0.00656815,262,0.08396947,1.74912142,0.05610451
h4,bull,1,price200_cross_up+breakout20_up,329,0.07902736,1.58531549,89,0.08988764,1.72513770,0.04625243,62,0.06451613,2.02841609,0.02537291,480,0.07916667,1.64907698,0.05821904
h4,bull,1,body_bull+adx_cross25_up,230,0.07826087,1.56993952,59,0.08474576,1.62645397,0.03674203,39,0.07692308,2.41849611,0.02650740,328,0.07926829,1.65119389,0.05466661
h4,bull,1,adx25+volatility,13559,0.07743934,1.55345934,2791,0.07810820,1.49906492,0.06872270,2339,0.05643437,1.77432207,0.04778937,18689,0.07491038,1.56041652,0.07122297
h4,bull,1,adx_rising+price200_cross_up,755,0.07682119,1.54105910,184,0.07065217,1.35596760,0.04175118,132,0.04545455,1.42911134,0.02099632,1071,0.07189542,1.49761376,0.05790709
h4,bull,1,rsi60+price200_cross_up,534,0.07677903,1.54021324,114,0.06140351,1.17846577,0.03005928,91,0.04395604,1.38199778,0.01722437,739,0.07036536,1.46574180,0.05406114
h4,bull,1,volatility+price200_cross_up,588,0.07653061,1.53522997,155,0.08387097,1.60966477,0.04966833,88,0.05681818,1.78638917,0.02451103,831,0.07581227,1.57920349,0.05970293
h4,bull,1,price200_cross_up+atr_expand,197,0.07614213,1.52743693,44,0.15909091,3.05329768,0.07926677,25,0.00000000,0.00000000,0.00000000,266,0.08270677,1.72281884,0.05525090
h4,bull,1,rsi60+rsi_cross55_up,764,0.07591623,1.52290526,166,0.06626506,1.27176943,0.03740095,117,0.03418803,1.07488716,0.01337384,1047,0.06972302,1.45236156,0.05581748
h4,bull,1,atr_expand,4895,0.07456588,1.49581685,940,0.07659574,1.47003755,0.06126504,740,0.06756757,2.12435469,0.05162519,6575,0.07406844,1.54287866,0.06798407
h4,bull,1,ema20_slope_up3+price200_cross_up,914,0.07439825,1.49245405,210,0.04761905,0.91391223,0.02606842,154,0.04545455,1.42911134,0.02219003,1278,0.06651017,1.38543655,0.05410706
h4,bull,1,momentum_bull+price200_cross_up,820,0.07439024,1.49229346,186,0.06451613,1.23820367,0.03728770,128,0.03125000,0.98251404,0.01221827,1134,0.06790123,1.41441300,0.05466980
h4,bull,1,rsi_cross55_up+bb_expand,444,0.07432432,1.49097109,116,0.08620690,1.65449628,0.04749935,65,0.06153846,1.93479689,0.02418905,625,0.07520000,1.56644954,0.05702076
h4,bull,1,trend_bull+atr_expand,2039,0.07405591,1.48558660,334,0.08083832,1.55146178,0.05614955,293,0.05802048,1.82418990,0.03653724,2666,0.07314329,1.52360727,0.06386198
h4,bull,1,di_strong_bull+rsi_cross55_up,2057,0.07389402,1.48233905,503,0.07554672,1.44990449,0.05553279,286,0.05244755,1.64897462,0.03203824,2846,0.07203092,1.50043620,0.06309815
h4,bull,1,adx25+breakout20_up,2351,0.07358571,1.47615420,527,0.07210626,1.38387469,0.05298195,366,0.03825137,1.20264014,0.02292002,3244,0.06935882,1.44477508,0.06111572
h4,bull,1,bb_upper+price20_cross_up,736,0.07336957,1.47181830,189,0.06349206,1.21854964,0.03668973,118,0.05084746,1.59866692,0.02350963,1043,0.06903164,1.43795984,0.05517515
