timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower
h4,bull,1,atr_expand+mtf_volatility,1172,0.13993174,2.80707806,192,0.16145833,3.09873366,0.11613945,172,0.14534884,4.56983277,0.10042961
h4,bull,1,macd_cross_up+mtf_trend_bull+structure_breakout20_up,238,0.10084034,2.02289126,54,0.05555556,1.06623094,0.01907327,43,0.02325581,0.73117324,0.00411709
h4,bull,1,atr_expand+mtf_trend_bull+range_expand,1627,0.10079902,2.02206237,292,0.08904110,1.70889068,0.06148793,292,0.10273973,3.23018316,0.07291798
h4,bull,1,atr_expand+mtf_price200_bull+range_expand,2102,0.10038059,2.01366859,355,0.07605634,1.45968517,0.05279422,368,0.08695652,2.73395213,0.06226796
h4,bull,1,adx_up3+mtf_trend_bull+range_expand,2232,0.09946237,1.99524870,521,0.07869482,1.51032328,0.05853690,568,0.06161972,1.93735164,0.04463705
h4,bull,1,atr_expand+mtf_adx25,1886,0.09915164,1.98901552,283,0.06007067,1.15288575,0.03783994,262,0.09541985,3.00004289,0.06546883
h4,bull,1,mtf_volatility+range_expand,8716,0.09866911,1.97933581,1628,0.11732187,2.25165968,0.10258327,1480,0.07229730,2.27305952,0.06018102
h4,bull,1,bb_expand+mtf_trend_bull+range_expand,3271,0.09721798,1.95022549,800,0.08250000,1.58335294,0.06537159,756,0.04497354,1.41398847,0.03235973
h4,bull,1,adx_cross25_up+atr_expand,196,0.09693878,1.94462463,38,0.05263158,1.01011352,0.01455421,38,0.07894737,2.48214075,0.02721460
h4,bull,1,adx25+atr_expand,2444,0.09656301,1.93708668,473,0.08245243,1.58244000,0.06090060,347,0.06051873,1.90273613,0.03992031
h4,bull,1,adx_up3+atr_expand,1626,0.09594096,1.92460810,337,0.07121662,1.36680049,0.04832126,330,0.08787879,2.76294859,0.06188288
h4,bull,1,bb_expand+mtf_price200_bull+range_expand,4351,0.09446104,1.89492049,1020,0.07254902,1.39237216,0.05818321,999,0.04604605,1.44770838,0.03469737
h4,bull,1,adx_up3+mtf_price200_bull+range_expand,2860,0.09405594,1.88679406,673,0.07280832,1.39734872,0.05550927,708,0.06073446,1.90951882,0.04539995
h4,bull,1,volatility+atr_expand,2864,0.09287709,1.86314595,605,0.10413223,1.99852212,0.08224061,491,0.07739308,2.43327307,0.05690261
h4,bull,1,price200_cross_up+mtf_price20_bull+structure_breakout20_up,151,0.09271523,1.85989892,43,0.09302326,1.78531692,0.03677164,28,0.10714286,3.36861958,0.03711837
h4,bull,1,atr_expand+mtf_trend_bull,2370,0.09156118,1.83674827,379,0.08970976,1.72172383,0.06490692,401,0.09476309,2.97939421,0.06982005
h4,bull,1,price200_cross_up+mtf_price200_bull+range_expand,515,0.09126214,1.83074932,110,0.06363636,1.22131907,0.03116452,102,0.03921569,1.23295880,0.01535407
h4,bull,1,volatility+mtf_volatility,9620,0.09116424,1.82878552,1647,0.13418336,2.57526816,0.11857047,1395,0.07956989,2.50171318,0.06649567
h4,bull,1,breakout20_up+mtf_volatility,1437,0.09116214,1.82874344,272,0.08823529,1.69342561,0.06001007,264,0.06818182,2.14366701,0.04356005
h4,bull,1,mtf_volatility+structure_breakout20_up,1437,0.09116214,1.82874344,272,0.08823529,1.69342561,0.06001007,264,0.06818182,2.14366701,0.04356005
h4,bull,1,atr_expand+mtf_adx_rising+range_expand,1729,0.09080393,1.82155761,342,0.07894737,1.51517028,0.05482222,244,0.09426230,2.96364892,0.06363413
h4,bull,1,breakout20_up+mtf_trend_bull+range_expand,1477,0.09072444,1.81996299,366,0.08469945,1.62556520,0.06031036,304,0.02631579,0.82738025,0.01339368
h4,bull,1,atr_expand+mtf_price200_bull,3055,0.09001637,1.80575877,460,0.07826087,1.50199488,0.05706318,513,0.07602339,2.39020961,0.05610902
h4,bull,1,mtf_volatility+impulse_bull,4049,0.08989874,1.80339915,758,0.10686016,2.05087692,0.08681580,731,0.07797538,2.45158087,0.06066984
h4,bull,1,rsi_cross55_up+breakout20_up,547,0.08957952,1.79699557,136,0.08823529,1.69342561,0.05119459,102,0.07843137,2.46591760,0.04027669
h4,bull,1,rsi_cross55_up+structure_breakout20_up,547,0.08957952,1.79699557,136,0.08823529,1.69342561,0.05119459,102,0.07843137,2.46591760,0.04027669
h4,bull,1,atr_expand+mtf_price200_bull+structure_hh,985,0.08934010,1.79219266,166,0.11445783,2.19669265,0.07451044,121,0.04132231,1.29919213,0.01777749
h4,bull,1,atr_expand+bb_expand,2638,0.08908264,1.78702786,511,0.06849315,1.31453129,0.04965789,470,0.07234043,2.27441549,0.05222650
h4,bull,1,bb_expand+mtf_adx_rising+range_expand,3355,0.08882265,1.78181246,786,0.06997455,1.34296263,0.05415270,611,0.04909984,1.54372092,0.03460677
h4,bull,1,breakout20_up+mtf_trend_bull+impulse_bull,1736,0.08870968,1.77954614,415,0.07951807,1.52612332,0.05717936,356,0.03089888,0.97147456,0.01733942
h4,bull,1,breakout20_up+mtf_price200_bull+range_expand,2086,0.08772771,1.75984751,493,0.07707911,1.47931432,0.05666964,456,0.03289474,1.03422531,0.02003424
h4,bull,1,price200_cross_up+mtf_price20_bull+range_expand,365,0.08767123,1.75871459,100,0.02000000,0.38384314,0.00550197,66,0.07575758,2.38185223,0.03279204
h4,bull,1,atr_expand+mtf_rsi60,1369,0.08765522,1.75839342,197,0.08629442,1.65617597,0.05457499,194,0.06701031,2.10683424,0.03957597
h4,bull,1,bb_expand+mtf_volatility,5030,0.08727634,1.75079294,996,0.11244980,2.15815419,0.09430021,903,0.06644518,2.08906641,0.05196801
h4,bull,1,macd_cross_up+mtf_di_strong_bull+structure_breakout20_up,298,0.08724832,1.75023086,69,0.08695652,1.66888321,0.04046362,46,0.02173913,0.68348803,0.00384785
h4,bull,1,atr_expand+mtf_adx_rising+structure_hh,828,0.08695652,1.74437724,158,0.07594937,1.45763217,0.04397745,87,0.06896552,2.16830686,0.03198884
h4,bull,1,adx_up3+mtf_adx_rising+range_expand,2612,0.08690658,1.74337550,648,0.08024691,1.54011135,0.06171863,510,0.06666667,2.09602996,0.04809649
h4,bull,1,price200_cross_up+mtf_price200_bull+structure_hh,415,0.08674699,1.74017392,92,0.07608696,1.46027280,0.03734356,95,0.03157895,0.99285630,0.01079714
h4,bull,1,rsi_up1+mtf_volatility,4734,0.08618504,1.72890115,931,0.09774436,1.87592511,0.08028907,859,0.06519208,2.04966842,0.05054273
h4,bull,1,bb_expand+mtf_di_strong_bull+range_expand,2888,0.08587258,1.72263293,696,0.06752874,1.29602209,0.05116032,535,0.04112150,1.29287829,0.02731055
h4,bull,1,atr_expand+mtf_trend_bull+impulse_bull,735,0.08571429,1.71945757,122,0.06557377,1.25850209,0.03359887,112,0.06250000,1.96502809,0.03060192
h4,bull,1,price200_cross_up+mtf_macd_bull+structure_breakout20_up,175,0.08571429,1.71945757,46,0.04347826,0.83444160,0.01200545,30,0.06666667,2.09602996,0.01847702
h4,bull,1,adx25+mtf_volatility,11278,0.08547615,1.71468045,1982,0.10645812,2.04316100,0.09363297,1979,0.06366852,2.00176687,0.05373380
h4,bull,1,adx_rising+atr_expand,3127,0.08538535,1.71285907,620,0.08709677,1.67157495,0.06736664,565,0.07256637,2.28151934,0.05393962
h4,bull,1,mtf_adx25+range_expand,11727,0.08527330,1.71061126,2417,0.05750931,1.10372768,0.04891081,2059,0.04759592,1.49643713,0.03921207
h4,bull,1,atr_expand+mtf_price200_bull+structure_breakout20_up,458,0.08515284,1.70819475,81,0.12345679,2.36940208,0.06846116,60,0.06666667,2.09602996,0.02622870
h4,bull,1,price200_cross_up+mtf_price200_bull+impulse_bull,611,0.08510638,1.70726283,147,0.03401361,0.65279445,0.01461442,121,0.02479339,0.77951528,0.00846731
h4,bull,1,mtf_adx25+mtf_volatility,11657,0.08501330,1.70539549,1838,0.06692057,1.28435000,0.05637615,2194,0.05879672,1.84859525,0.04970282
h4,bull,1,rsi_cross55_up+mtf_volatility,1025,0.08487805,1.70268237,194,0.10824742,2.07750152,0.07189759,186,0.09139785,2.87358946,0.05784765
h4,bull,1,price200_cross_up+mtf_price20_bull+structure_hh,295,0.08474576,1.70002867,75,0.05333333,1.02358170,0.02093343,58,0.06896552,2.16830686,0.02714425
