timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,trend_bull,46082,0.04800665,0.04422551,-0.00378114,0.92123712
h4,bull,1,price20_bull,59479,0.04800665,0.04542780,-0.00257886,0.94628129
h4,bull,1,price200_bull,62174,0.04800665,0.04469714,-0.00330951,0.93106137
h4,bull,1,ema20_rising,59479,0.04800665,0.04542780,-0.00257886,0.94628129
h4,bull,1,ema200_rising,62174,0.04800665,0.04469714,-0.00330951,0.93106137
h4,bull,1,momentum_bull,40120,0.04800665,0.04374377,-0.00426288,0.91120221
h4,bull,1,rsi60,27833,0.04800665,0.04404843,-0.00395822,0.91754848
h4,bull,1,macd_bull,56959,0.04800665,0.04757808,-0.00042857,0.99107268
h4,bull,1,macd_rising,56608,0.04800665,0.04767877,-0.00032788,0.99317011
h4,bull,1,adx25,48620,0.04800665,0.05306458,0.00505793,1.10535892
h4,bull,1,adx_rising,53528,0.04800665,0.05055298,0.00254633,1.05304115
h4,bull,1,di_bull,53590,0.04800665,0.04597873,-0.00202793,0.95775740
h4,bull,1,di_strong_bull,37750,0.04800665,0.04723179,-0.00077487,0.98385921
h4,bull,1,volatility,34087,0.04800665,0.06495145,0.01694479,1.35296763
h4,bull,1,bb_bull,59111,0.04800665,0.04562603,-0.00238063,0.95041046
h4,bull,1,bb_upper,25813,0.04800665,0.04734049,-0.00066617,0.98612347
h4,bull,1,body_bull,17509,0.04800665,0.05145925,0.00345260,1.07191912
h4,bull,1,rsi_up1,24603,0.04800665,0.05450555,0.00649889,1.13537488
h4,bull,1,rsi_up3,28056,0.04800665,0.05039920,0.00239255,1.04983785
h4,bull,1,rsi_cross50_up,6090,0.04800665,0.04909688,0.00109023,1.02270991
h4,bull,1,rsi_cross55_up,5853,0.04800665,0.05552708,0.00752043,1.15665384
h4,bull,1,macd_cross_up,4377,0.04800665,0.04820653,0.00019988,1.00416361
h4,bull,1,macd_accel_up,56608,0.04800665,0.04767877,-0.00032788,0.99317011
h4,bull,1,adx_up3,19423,0.04800665,0.05323585,0.00522920,1.10892659
h4,bull,1,adx_cross25_up,2056,0.04800665,0.05107004,0.00306339,1.06381169
h4,bull,1,di_cross_up,5000,0.04800665,0.05140000,0.00339335,1.07068492
h4,bull,1,di_spread_up3,28588,0.04800665,0.05260949,0.00460283,1.09587907
