timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bull,1,atr_expand+mtf_volatility,1172,192,172,2.80707806,3.09873366,4.56983277,0.10042961,11,7,0.15344382,0.00000000
h4,bull,1,atr_expand+mtf_trend_bull+range_expand,1627,292,292,2.02206237,1.70889068,3.23018316,0.07291798,11,7,0.08987561,0.00000000
h4,bull,1,atr_expand+mtf_price200_bull+range_expand,2102,355,368,2.01366859,1.45968517,2.73395213,0.06226796,12,7,0.07254178,0.00000000
h4,bull,1,adx_up3+mtf_trend_bull+range_expand,2232,521,568,1.99524870,1.51032328,1.93735164,0.04463705,12,7,0.04584082,0.00000000
h4,bull,1,atr_expand+mtf_adx25,1886,283,262,1.98901552,1.15288575,3.00004289,0.06546883,12,6,0.08841820,0.00000000
h4,bull,1,mtf_volatility+range_expand,8716,1628,1480,1.97933581,2.25165968,2.27305952,0.06018102,12,8,0.07209444,0.00000000
h4,bull,1,bb_expand+mtf_trend_bull+range_expand,3271,800,756,1.95022549,1.58335294,1.41398847,0.03235973,12,8,0.03702699,0.00000000
h4,bull,1,adx25+atr_expand,2444,473,347,1.93708668,1.58244000,1.90273613,0.03992031,12,7,0.06101544,0.00000000
h4,bull,1,adx_up3+atr_expand,1626,337,330,1.92460810,1.36680049,2.76294859,0.06188288,12,7,0.07910477,0.00000000
h4,bull,1,bb_expand+mtf_price200_bull+range_expand,4351,1020,999,1.89492049,1.39237216,1.44770838,0.03469737,12,7,0.03849768,0.00000000
h4,bull,1,adx_up3+mtf_price200_bull+range_expand,2860,673,708,1.88679406,1.39734872,1.90951882,0.04539995,12,6,0.04781429,0.00000000
h4,bull,1,volatility+atr_expand,2864,605,491,1.86314595,1.99852212,2.43327307,0.05690261,12,7,0.07781376,0.00000000
h4,bull,1,atr_expand+mtf_trend_bull,2370,379,401,1.83674827,1.72172383,2.97939421,0.06982005,11,7,0.08081243,0.00000000
h4,bull,1,price200_cross_up+mtf_price200_bull+range_expand,515,110,102,1.83074932,1.22131907,1.23295880,0.01535407,10,2,0.03974359,0.00000000
h4,bull,1,volatility+mtf_volatility,9620,1647,1395,1.82878552,2.57526816,2.50171318,0.06649567,12,8,0.07996697,0.00000000
h4,bull,1,breakout20_up+mtf_volatility,1437,272,264,1.82874344,1.69342561,2.14366701,0.04356005,11,6,0.06860186,0.00000000
h4,bull,1,mtf_volatility+structure_breakout20_up,1437,272,264,1.82874344,1.69342561,2.14366701,0.04356005,11,6,0.06860186,0.00000000
h4,bull,1,atr_expand+mtf_adx_rising+range_expand,1729,342,244,1.82155761,1.51517028,2.96364892,0.06363413,12,6,0.08778810,0.00000000
h4,bull,1,breakout20_up+mtf_trend_bull+range_expand,1477,366,304,1.81996299,1.62556520,0.82738025,0.01339368,11,3,0.04282986,0.00000000
h4,bull,1,atr_expand+mtf_price200_bull,3055,460,513,1.80575877,1.50199488,2.39020961,0.05610902,12,7,0.06200944,0.00000000
h4,bull,1,mtf_volatility+impulse_bull,4049,758,731,1.80339915,2.05087692,2.45158087,0.06066984,12,7,0.07688218,0.00000000
h4,bull,1,rsi_cross55_up+breakout20_up,547,136,102,1.79699557,1.69342561,2.46591760,0.04027669,12,6,0.08806217,0.00000000
h4,bull,1,rsi_cross55_up+structure_breakout20_up,547,136,102,1.79699557,1.69342561,2.46591760,0.04027669,12,6,0.08806217,0.00000000
h4,bull,1,atr_expand+mtf_price200_bull+structure_hh,985,166,121,1.79219266,2.19669265,1.29919213,0.01777749,10,4,0.04797009,0.00000000
h4,bull,1,atr_expand+bb_expand,2638,511,470,1.78702786,1.31453129,2.27441549,0.05222650,12,7,0.06752353,0.00000000
h4,bull,1,bb_expand+mtf_adx_rising+range_expand,3355,786,611,1.78181246,1.34296263,1.54372092,0.03460677,12,5,0.04871066,0.00000000
h4,bull,1,breakout20_up+mtf_trend_bull+impulse_bull,1736,415,356,1.77954614,1.52612332,0.97147456,0.01733942,11,4,0.05707793,0.00000000
h4,bull,1,breakout20_up+mtf_price200_bull+range_expand,2086,493,456,1.75984751,1.47931432,1.03422531,0.02003424,12,5,0.03761797,0.00000000
h4,bull,1,price200_cross_up+mtf_price20_bull+range_expand,365,100,66,1.75871459,0.38384314,2.38185223,0.03279204,7,3,0.06485261,0.00000000
h4,bull,1,atr_expand+mtf_rsi60,1369,197,194,1.75839342,1.65617597,2.10683424,0.03957597,12,5,0.06882197,0.00000000
h4,bull,1,bb_expand+mtf_volatility,5030,996,903,1.75079294,2.15815419,2.08906641,0.05196801,12,8,0.06573948,0.00000000
h4,bull,1,atr_expand+mtf_adx_rising+structure_hh,828,158,87,1.74437724,1.45763217,2.16830686,0.03198884,11,4,0.07445887,0.00000000
h4,bull,1,adx_up3+mtf_adx_rising+range_expand,2612,648,510,1.74337550,1.54011135,2.09602996,0.04809649,12,6,0.06132691,0.00000000
h4,bull,1,price200_cross_up+mtf_price200_bull+structure_hh,415,92,95,1.74017392,1.46027280,0.99285630,0.01079714,8,2,0.04583333,0.00000000
h4,bull,1,rsi_up1+mtf_volatility,4734,931,859,1.72890115,1.87592511,2.04966842,0.05054273,12,7,0.06189596,0.00000000
h4,bull,1,bb_expand+mtf_di_strong_bull+range_expand,2888,696,535,1.72263293,1.29602209,1.29287829,0.02731055,12,6,0.04199392,0.00000000
h4,bull,1,atr_expand+mtf_trend_bull+impulse_bull,735,122,112,1.71945757,1.25850209,1.96502809,0.03060192,8,5,0.08128885,0.00000000
h4,bull,1,adx25+mtf_volatility,11278,1982,1979,1.71468045,2.04316100,2.00176687,0.05373380,12,7,0.05602526,0.00000000
h4,bull,1,adx_rising+atr_expand,3127,620,565,1.71285907,1.67157495,2.28151934,0.05393962,12,7,0.07043001,0.00000000
